2D Agreement Proportion Analysis Log
Started at: 2025-10-18 23:18:57
Log file: sensitivity_results/tau10_tau01_agreement_log_20251018_231857.txt
======================================================================

Running 2D sensitivity analysis...
  tau10 range: [-1.00, 1.00] with 20 steps
  tau01 range: [-1.00, 1.00] with 20 steps
  Trust levels: 100 points in [0, 1]
  Fixed parameters: β=0.9, α=0.02, γ=0.9
  τ={11:1.0, 00:-1.0}
  p={11:0.2, 10:0.4, 01:0.2, 00:0.2}
  Total simulations: 400

  Processing (119/400): τ¹⁰=0.895, τ⁰¹=-0.474...
  Processing (120/400): τ¹⁰=1.000, τ⁰¹=-0.474...
  Processing (121/400): τ¹⁰=-1.000, τ⁰¹=-0.368...
  Processing (122/400): τ¹⁰=-0.895, τ⁰¹=-0.368...
  Processing (123/400): τ¹⁰=-0.789, τ⁰¹=-0.368...
  Processing (124/400): τ¹⁰=-0.684, τ⁰¹=-0.368...
  Processing (125/400): τ¹⁰=-0.579, τ⁰¹=-0.368...
  Processing (126/400): τ¹⁰=-0.474, τ⁰¹=-0.368...
  Processing (127/400): τ¹⁰=-0.368, τ⁰¹=-0.368...
  Processing (128/400): τ¹⁰=-0.263, τ⁰¹=-0.368...
  Processing (129/400): τ¹⁰=-0.158, τ⁰¹=-0.368...
  Processing (130/400): τ¹⁰=-0.053, τ⁰¹=-0.368...
  Processing (131/400): τ¹⁰=0.053, τ⁰¹=-0.368...
  Processing (132/400): τ¹⁰=0.158, τ⁰¹=-0.368...
  Processing (133/400): τ¹⁰=0.263, τ⁰¹=-0.368...
  Processing (134/400): τ¹⁰=0.368, τ⁰¹=-0.368...
  Processing (135/400): τ¹⁰=0.474, τ⁰¹=-0.368...
  Processing (136/400): τ¹⁰=0.579, τ⁰¹=-0.368...
  Processing (137/400): τ¹⁰=0.684, τ⁰¹=-0.368...
  Processing (138/400): τ¹⁰=0.789, τ⁰¹=-0.368...
  Processing (139/400): τ¹⁰=0.895, τ⁰¹=-0.368...
  Processing (140/400): τ¹⁰=1.000, τ⁰¹=-0.368...
  Processing (141/400): τ¹⁰=-1.000, τ⁰¹=-0.263...
  Processing (142/400): τ¹⁰=-0.895, τ⁰¹=-0.263...
  Processing (143/400): τ¹⁰=-0.789, τ⁰¹=-0.263...
  Processing (144/400): τ¹⁰=-0.684, τ⁰¹=-0.263...
  Processing (145/400): τ¹⁰=-0.579, τ⁰¹=-0.263...
  Processing (146/400): τ¹⁰=-0.474, τ⁰¹=-0.263...
  Processing (147/400): τ¹⁰=-0.368, τ⁰¹=-0.263...
  Processing (148/400): τ¹⁰=-0.263, τ⁰¹=-0.263...
  Processing (149/400): τ¹⁰=-0.158, τ⁰¹=-0.263...
  Processing (150/400): τ¹⁰=-0.053, τ⁰¹=-0.263...
  Processing (151/400): τ¹⁰=0.053, τ⁰¹=-0.263...
